,time,open,high,low,close,volume,MA50,MA200,sup,Buy_signal,Sell_signal
0,2013-01-02,19640,19790,19590,19790,90770,19790,19790,0,0,0
1,2013-01-03,19790,20040,19690,19790,1618510,19790,19790,,0,0
2,2013-01-04,20150,20400,19790,20250,1318980,19943.33333,19943.33333,,0,0
3,2013-01-07,20400,20450,20250,20250,701600,20020,20020,,0,0
4,2013-01-08,20190,21010,20100,20700,871680,20156,20156,,0,0
5,2013-01-09,20910,21160,20250,20350,1192690,20188.33333,20188.33333,,0,0
6,2013-01-10,20350,20700,20250,20700,286010,20261.42857,20261.42857,,0,0
7,2013-01-11,20810,21720,20810,21720,1009650,20443.75,20443.75,19202.71066,0,0
8,2013-01-14,21720,22780,21670,22430,504790,20664.44444,20664.44444,19907.14959,0,0
9,2013-01-15,22430,22430,21870,21970,476420,20795,20795,19953.60195,0,0
10,2013-01-16,21920,22470,21920,22170,1560150,20920,20920,20097.9183,0,0
11,2013-01-17,22170,22230,21320,21320,505310,20953.33333,20953.33333,20097.9183,0,0
12,2013-01-18,21320,21570,21070,21110,550040,20965.38462,20965.38462,20097.9183,0,0
13,2013-01-21,21220,21220,20610,20650,745790,20942.85714,20942.85714,20097.9183,0,0
14,2013-01-22,20550,21220,20450,20650,864580,20923.33333,20923.33333,20097.9183,0,0
15,2013-01-23,20910,20910,20500,20650,151470,20906.25,20906.25,20097.9183,0,0
16,2013-01-24,20650,21360,20650,21270,1013370,20927.64706,20927.64706,20097.9183,0,0
17,2013-01-25,21420,22730,21320,22730,976320,21027.77778,21027.77778,20097.9183,0,0
18,2013-01-28,23860,24310,23090,23090,868650,21136.31579,21136.31579,20986.2329,0,0
19,2013-01-29,22940,23700,22780,23090,831050,21234,21234,20986.2329,0,0
20,2013-01-30,23490,24100,23140,23350,422340,21334.7619,21334.7619,20986.2329,0,0
21,2013-01-31,23350,23350,22690,22690,409050,21396.36364,21396.36364,20986.2329,0,0
22,2013-02-01,22580,22830,22270,22830,354500,21458.69565,21458.69565,20986.2329,0,0
23,2013-02-04,23350,23800,23140,23350,373810,21537.5,21537.5,20986.2329,0,0
24,2013-02-05,23350,23440,22980,23090,264910,21599.6,21599.6,20986.2329,0,0
25,2013-02-06,23090,23490,23090,23490,472350,21672.30769,21672.30769,21071.77423,0,0
26,2013-02-07,23640,23640,23350,23440,373420,21737.77778,21737.77778,21472.94252,0,0
27,2013-02-08,23490,23700,23240,23700,365340,21807.85714,21807.85714,21541.11623,0,0
28,2013-02-18,23950,23950,23550,23700,346920,21873.10345,21873.10345,21926.6514,0,0
29,2013-02-19,23700,23700,23350,23350,647860,21922.33333,21922.33333,21926.6514,0,0
30,2013-02-20,23440,23750,23400,23550,699390,21974.83871,21974.83871,21937.21704,0,0
31,2013-02-21,23700,24310,23350,23350,899530,22017.8125,22017.8125,22013.25289,0,0
32,2013-02-22,23440,23750,23240,23400,689770,22059.69697,22059.69697,22013.25289,0,0
33,2013-02-25,23700,23700,23400,23490,109600,22101.76471,22101.76471,22013.25289,0,0
34,2013-02-26,23550,23550,22630,22830,556910,22122.57143,22122.57143,22013.25289,0,0
35,2013-02-27,22830,23400,22430,23400,365170,22158.05556,22158.05556,22013.25289,0,0
36,2013-02-28,23440,23550,23190,23350,183820,22190.27027,22190.27027,22013.25289,0,0
